"","test_residual_our","validation_residual_our","train_residual_our","test_residual_our_modified","validation_residual_our_modified","train_residual_our_modified"
"1",7.25710385546696,8.71671945816071,10.5852789092837,7.25183214573752,8.60262112720032,10.5731918874348
"2",7.13179255124925,7.96318977230871,10.5018622377768,7.04783542427497,7.89698159566419,10.4753664934622
"3",7.08777353918719,7.89173038204339,10.0926035860729,6.97217485745012,7.89110330731622,10.0901448057453
"4",6.98935281848036,7.73343107449921,9.76456344025417,6.70966882220189,7.60233745741845,9.74300106212336
"5",6.92572220235581,7.21832723504055,9.7059183143013,6.64841638231148,7.16063191469061,9.7014988258746
"6",6.7491883623169,7.20318542150603,9.41702278621461,6.5132304489519,7.06834089587973,9.41030958467299
"7",6.65655657817434,7.08531863366954,9.26542457628268,6.44021674926942,7.03527213970304,9.25926069745253
"8",6.58649385647183,7.07188078560759,9.10956175520231,6.39713800508315,6.94431453435256,9.10144621004654
"9",6.52106864712791,7.04361012934506,9.04240411595081,6.30936063719316,6.51050137619193,9.0396012797652
"10",6.41594928016867,6.96349520804246,8.97530833666691,6.27304050725552,6.34616347004193,8.97264396468062
"11",6.34385461467306,6.54259720018323,8.96248032027532,6.11431752039364,6.00205404435784,8.95625767535814
"12",6.28539843279113,6.46683241113526,8.8720207884611,6.03180100998384,5.91153531059949,8.86840047201717
"13",6.11522454295409,6.34786411830838,8.80509995544149,5.9823665603785,5.89113148988086,8.79526910294752
"14",6.03613650631219,6.00380451236607,8.74134879230482,5.90978115819495,5.88691789645688,8.73077437708143
"15",5.94096034185719,5.98245159126046,8.70379165990181,5.90353527351645,5.85243493052942,8.69570834049794
"16",5.92012546728291,5.9524633157854,8.62004026098567,5.88326841699044,5.85130616295847,8.6089766571782
"17",5.91842237810888,5.94909428729736,8.5416991417605,5.67769630543813,5.70631221463897,8.52953120241794
"18",5.84482434203547,5.85471646098309,8.5162786938554,5.66892610968438,5.68173248584814,8.50183026464307
"19",5.68655967570697,5.68513926427244,8.4618512033557,5.56908312685173,5.63635559673573,8.44645152067383
"20",5.6741559629059,5.67139421079838,8.30831061674053,5.50150370594547,5.57106917105795,8.2983924734663
"21",5.58193524305635,5.57476503848848,8.22077916824768,5.47506053841893,5.45450124832393,8.20930112733319
"22",5.52521958685788,5.57396176614686,8.18189312928256,5.47124746583905,5.40903431681714,8.16826131559563
"23",5.51334924489555,5.46150249486136,8.15513130656738,5.41821797949873,5.40721750100658,8.13834114512703
"24",5.49077401037571,5.4581558056465,8.1164387289439,5.38938189071879,5.40279583575506,8.09592453273236
"25",5.42922548676109,5.42097314117169,8.06260696292258,5.35765857809762,5.38604769793599,8.0456571025709
"26",5.39511223820752,5.41075295064711,7.98738123705837,5.33847436568694,5.35336035798137,7.97295987424442
"27",5.35913462130008,5.40268290041457,7.88594239678469,5.27478039513299,5.33891845668061,7.86917992531975
"28",5.3084309458927,5.40151230943001,7.82029706272533,5.24992749301622,5.3354165764317,7.80422001500043
"29",5.29584217504422,5.35129026339196,7.78318633885105,5.19801126915576,5.32740323409229,7.76413709991279
"30",5.20486598023918,5.34750752474913,7.72939863206944,5.12878095465141,5.25392857447574,7.71085737533766
"31",5.15194084544598,5.33324518578956,7.6937954953879,5.09276443290036,5.22001001062042,7.67898583093219
"32",5.10295841215006,5.27955036319085,7.68432518666713,5.06642435489978,5.19987706386727,7.66030728275055
"33",5.05704495804076,5.25654074238668,7.59768315998086,5.05070653051994,5.17242093612575,7.5683275534678
"34",5.05170044752217,5.25557938968346,7.57811558220723,5.01759017481622,5.15270197016642,7.56693057020259
"35",5.02106439981839,5.20516641942323,7.50817622089612,4.96195830798717,5.10993095813773,7.49385816471998
"36",5.00829222867255,5.15613001605142,7.49253195026323,4.92665393241256,5.09958118776173,7.47064876410528
"37",5,5.13216600191334,7.43674662284945,4.84059240248367,5.09789842435685,7.41125719669461
"38",4.9662566787703,5.10947243879808,7.4122277524552,4.83037990596128,5.06600450465338,7.39793844052793
"39",4.94233827238842,5.0880766683469,7.40206661852241,4.8029719894456,5.05307657106246,7.38359480332425
"40",4.93146920508022,5.07251599475198,7.31412740774126,4.79988603427946,4.98953679603022,7.29975632385343
"41",4.90622031365695,5.00123981752428,7.26528745089659,4.76107366186674,4.97925503725342,7.25444427302146
"42",4.88393700036149,5,7.25070412945606,4.75197094210004,4.89055613219864,7.24573954026935
"43",4.8209026079271,4.99282299705538,7.2456425758078,4.7451063205321,4.88524307243845,7.23169762710221
"44",4.80535642372461,4.97934712192736,7.17520656506793,4.68291125804555,4.85337478590469,7.1525307614929
"45",4.78825920721827,4.93508672657475,7.13749873734328,4.61219645316339,4.83974247648536,7.1184612808041
