"","test_residual_baseline1","validation_residual_baseline1","train_residual_baseline1","test_residual_baseline1_modified","validation_residual_baseline1_modified","train_residual_baseline1_modified"
"1",7.31589081467527,8.8894750254771,10.3909377847913,7.29202382015532,8.59187202606367,10.378053161481
"2",7.29948560533471,7.9748717084379,10.2872756289992,7.05743723317996,7.95205291229508,10.2346731123533
"3",7.10670165319467,7.95235300307186,10.0523875101605,7.00938022638067,7.86499400445619,10.0483104588159
"4",7.06247549784938,7.79322202122076,9.71101947369342,6.87522332180659,7.67659785701073,9.6852733424223
"5",7.04938169397398,7.3117710853018,9.64938189092652,6.63098785811769,7.25192952290688,9.64218049508843
"6",7.01216769228383,7.23884429760303,9.34806535008575,6.58397105098425,7.11840661446761,9.34092098412644
"7",6.71602858232577,7.12506440873613,9.19918827537692,6.41298093835192,6.86814887872752,9.1886783257061
"8",6.64433066155232,7.0945002574857,9.06688198580661,6.36639869155687,6.86022716913506,9.05590395095734
"9",6.45044216693692,6.87607404386299,9.00649827907836,6.32926047186588,6.54793319458476,9.00061272648054
"10",6.39050971932884,6.86558665498164,8.9830760277452,6.23872270171149,6.32413375001047,8.97224945806576
"11",6.32909601795971,6.59492741862709,8.95082020170847,6.14716746288535,6.05436396983718,8.94370196337672
"12",6.24922360527755,6.45843234955528,8.87199993469811,6.08331349116584,6.03632783785285,8.86310562540426
"13",6.15864168445798,6.32569824078571,8.7896843693257,5.99297866223952,5.95532607220151,8.77849653523276
"14",6.04034174702067,6.07733837290689,8.71586590054422,5.97363180144636,5.91481326581786,8.70182320762629
"15",6.00755798770578,6.0599232136216,8.69481430334123,5.92340338324744,5.88443167326798,8.68110424489149
"16",5.93818365551609,5.96856377816983,8.63248675211894,5.89123947168026,5.88024265577086,8.61739764823763
"17",5.90980907369941,5.96421230473722,8.53138805613482,5.88832742150901,5.81331395367643,8.5146655029431
"18",5.90399881001778,5.95571355941134,8.47092627800386,5.70223571681941,5.69262214527971,8.45187583242148
"19",5.84775509210365,5.82730281632442,8.43386365582161,5.63711553904265,5.66481347741863,8.41506598346144
"20",5.68050064323069,5.67277954334121,8.31781469684315,5.57874622219563,5.64537561829171,8.30154190801105
"21",5.65851665434046,5.64973183251407,8.20537588139772,5.55907141774375,5.54983693051442,8.19228273476149
"22",5.63494084892135,5.59286314752577,8.16159893379757,5.50211639422583,5.46120633176948,8.14258074637526
"23",5.54300337358635,5.49841219622127,8.13228298841908,5.44070221816222,5.45795605492997,8.10916927388065
"24",5.51450180215987,5.48205160650652,8.12408550546253,5.42551617830377,5.44669554817913,8.09685519072412
"25",5.49728835665137,5.47319025405105,8.05047842978619,5.42119319640075,5.44116705544201,8.02904216993878
"26",5.44889606548662,5.46099422196713,7.98483471658807,5.39851876649279,5.383557111149,7.96506218447192
