"","X1","X2","X3","X4","X5","X6","X7","X8"
"result.1",0.861328106239166,5,0.868647527521884,5,0.846288753276393,4,0.857557655279551,4
"result.2",0.899310804038909,5,0.903852955238483,5,0.882511768395172,4,0.89015033171965,4
"result.3",0.986196658935855,6.36845142741892,0.992237523822366,6.032155445273,0.95438496586268,4,0.961364513576766,4
"result.4",1.07292929198374,7.30756460602934,1.07696611387859,6.99805945953104,1.02233193385028,4,1.02398624548774,4
"result.5",1.13675771225885,7.14684824976574,1.12307776609109,7.32076663575085,1.06743037575583,4,1.06032329417197,4
"result.6",1.23969173513411,9.86618010737984,1.20752410978189,9.55940097492712,1.13776813606698,4,1.115704962438,4
"result.7",1.36152892940647,14.7307442691705,1.30912860720133,13.0797603738119,1.20975103735468,4,1.17889963449008,4
"result.8",1.52065948815242,15.7465509370806,1.4475733677004,17.4844236016206,1.27108425859671,4,1.23778748385077,4
"result.9",1.71098575854521,18.1216523716775,1.60275663252777,18.0163093404672,1.35470140882859,4,1.32120059685899,4
"result.10",1.96036213111071,18.7763004249523,1.8561932846147,24.7517291533813,1.42471427500611,4,1.38642305510639,4
