"","X1","X2","X3","X4","X5","X6","X7","X8"
"result.1",1.01159504247171,5,0.991203574835291,5,1.00142323354435,4,0.980513450404972,4
"result.2",1.11810294276531,6.6336346532188,1.06497498177074,7.15009284601226,1.08686442925715,4,1.03808778424474,4
"result.3",2.75191532259706,66.0540686755276,2.46393581772073,62.5366647756609,1.1844874076327,4,1.11638588443403,4
"result.4",3.30470787602699,82.0518501792005,2.85388197643499,65.2990983069154,1.29443759003012,4,1.22460681868582,4
"result.5",3.19530727130098,66.8011267331442,2.8925895228848,47.0452950390724,1.33491353982612,4,1.27232733235316,4
"result.6",3.08937139881958,50.729579019613,2.73996481370399,42.5076819243299,1.38005452326386,4,1.32422266559176,4
"result.7",3.23558653722195,46.9363051890407,2.96500298728867,48.1406733719926,1.46882270446775,4,1.40211304473801,4
"result.8",3.34095038184272,46.067929580922,2.99544884763094,43.130249749429,1.5270641575605,4,1.48229041747164,4
"result.9",3.48039345101089,46.1368013401561,3.16630358732017,38.7705674284565,1.60632441780352,4,1.56724590511924,4
"result.10",3.68060839799566,39.8763911751298,3.33339728797364,34.7032358935573,1.68990138945564,4,1.66037748423525,4
