"","X1","X2","X3","X4","X5","X6","X7","X8"
"result.1",4.10750514136033,7.25664773257981,4.07179501289699,7.59861015165433,3.35287946643526,4,3.32478643724069,4
"result.2",3.99919965181986,7.87866362313163,3.95762044935624,7.75232654983273,3.2589601077611,4,3.23435155696837,4
"result.3",3.91129065945768,8.28465821138602,3.85754970091373,8.7612105383996,3.19000831203035,4,3.15427930431409,4
"result.4",3.78420082180501,8.63582907696491,3.71721129024133,8.51634033737964,3.08406762586658,4,3.04065299433334,4
"result.5",3.6873434605076,8.40528857447251,3.62550493028995,8.79016308935786,3.00443439944889,4,2.96498132998395,4
"result.6",3.58669429135483,9.31510756886046,3.50595623399592,9.9143832114737,2.90112556405958,4,2.8568490617156,4
"result.7",3.50854372915237,9.28740764957543,3.4423682630109,9.3798692781876,2.8423101654346,4,2.80103157155109,4
"result.8",3.36644261162197,9.5712399988249,3.34273116194835,10.9673019057429,2.73357695263457,4,2.70808885011522,4
"result.9",3.29556298459301,8.68821189978323,3.27461425130698,10.775966066206,2.67226513571072,4,2.64382617877301,4
"result.10",3.14895718689031,10.0530673922761,3.12899843249486,10.0202351945773,2.55558910697602,4,2.51629760690188,4
"result.11",3.05144070768161,9.52796721252546,3.00676369049999,9.85496690441101,2.46276854359271,4,2.42391349741025,4
"result.12",2.95194636755381,9.37577576618013,2.92178809842316,10.7333942998799,2.39451600116939,4,2.36957293858692,4
"result.13",2.88130558556872,10.3426704300326,2.8252481002646,10.912030545047,2.32967108460682,4,2.28458866294033,4
"result.14",2.77201097041964,9.16617506050541,2.70797958651358,9.47162430443593,2.26264969710267,4,2.20457842627763,4
"result.15",2.61461646363603,9.13761777320908,2.6144880860852,9.16263148488815,2.15753427571548,4,2.13861491026533,4
"result.16",2.50823278501297,10.0348588881253,2.47582655052475,9.12761857227372,2.0737746147387,4,2.03079465837812,4
"result.17",2.35949692706418,10.5073133260471,2.30233238982245,9.25199340960241,1.96398809716891,4,1.91581532467297,4
"result.18",2.13203006425463,9.93573303997685,2.13111445181782,10.1719915472119,1.81865860998298,4,1.79183673465887,4
"result.19",1.92052660046029,9.41647107824384,1.90036594153872,10.5051992459221,1.65090778016958,4,1.63501547777725,4
"result.20",1.91493225826723,9.39904179335648,1.89732396342117,10.4920815777221,1.6521023513731,4,1.63482331799019,4
