"","test_residual_baseline1","validation_residual_baseline1","train_residual_baseline1","test_residual_baseline1_modified","validation_residual_baseline1_modified","train_residual_baseline1_modified"
"1",28.064444347869,29.3631707501435,61.1906582975716,27.676272494573,28.1305904018973,61.0371259266915
"2",27.4193189810176,27.2428850464681,59.184970012296,27.276544272763,26.9526191882681,59.0423490843841
"3",26.8451991953009,26.6749128466713,57.2161731352362,26.6787788940406,26.2931828032374,56.8285417521684
"4",26.6664122466899,26.4023910885054,56.3692205095575,26.4454994755639,26.1956103481225,56.1277968251225
"5",26.5352942110664,26.355412262585,55.9135472241045,26.2949856339528,26.0502724562077,55.7610958740432
"6",26.3704019370055,26.0550059568703,54.9331569992702,26.2680097638658,25.939648414491,54.7617625923081
"7",26.0939030739621,26.0037097571031,54.7287002254122,25.9922243286938,25.8625663305411,54.5054076043783
"8",25.8979930427516,25.8817464427561,53.6676266673843,25.7966249749268,25.7840488441666,53.3873046257978
"9",25.825025151572,25.6912042968488,53.3702859415137,25.7368114772697,25.5428975536307,53.0728928227431
"10",25.6690663429239,25.6142054381318,52.4220526972908,25.5996574131343,25.4310914124353,52.3502419112111
"11",25.6502005415402,25.4756510009889,52.2659542419961,25.5730205513701,25.3964881578023,52.0239591716655
"12",25.55228955018,25.4228832521955,51.7714113815663,25.4434664044567,25.329203835061,51.6404517541006
"13",25.440300310707,25.3548847629037,51.5133695070399,25.2810332295303,25.2432169308907,51.2854836494923
"14",25.2737938398994,25.2797664567319,51.1412893404649,25.2070275869598,25.2193212682378,51.0096170222199
"15",25.2169271355723,25.2371627211695,50.7872299200231,25.1321543814339,25.1406402255625,50.6270494077763
"16",25.1748753137248,25.1607191409156,50.5236846559428,25.129887017944,25.007267911048,50.3583598789543
"17",25.126568261359,25.0305088695925,50.422068446817,25.0564959986611,24.9342960870489,50.2361690650284
"18",25.1083915101927,24.9987086563855,49.7999751359887,24.9690776304999,24.8896666309596,49.6273198475228
"19",25.034817445589,24.9367756768595,49.6640333784237,24.8880725228975,24.8331321246939,49.5681187627072
"20",24.9137530016357,24.8215104872028,49.418080810003,24.839041063989,24.7308913461805,49.2684087793716
"21",24.8687023236211,24.7791605044999,49.1696456338512,24.7936968903751,24.7097471147454,49.0423428836057
"22",24.7869173026886,24.6750121848487,49.1366548547628,24.6812375133298,24.6345459896156,48.9939735958755
"23",24.7114995860004,24.5668545370029,49.0677458005338,24.6574824404991,24.5320576877293,48.791255446314
"24",24.6504235299875,24.5138671377241,48.550213999248,24.5552266011545,24.4484502516014,48.4365257151966
"25",24.6344920581408,24.4879629163848,48.496671887481,24.5520687222623,24.4218969442941,48.2991755094841
"26",24.6251351832778,24.4542584229866,48.3547999291517,24.5203839987581,24.3659305574826,48.2125540744917
"27",24.518482558794,24.3810848214989,48.2649338707837,24.4253988818166,24.3059930273169,48.1330551510025
"28",24.467279136981,24.370514162825,47.9880148132785,24.356835933591,24.2299940339653,47.8962619532699
"29",24.4035731581701,24.2648657682591,47.8573706652674,24.3222738390244,24.1472893363114,47.7149777246999
"30",24.3220457047559,24.1829425121994,47.5915244027461,24.2791475612079,24.1227483808157,47.5605698484033
"31",24.2637210348202,24.1448050433792,47.4883412928123,24.1913628122619,24.0898085865449,47.3875048794622
