"","test_residual_baseline1","validation_residual_baseline1","train_residual_baseline1","test_residual_baseline1_modified","validation_residual_baseline1_modified","train_residual_baseline1_modified"
"1",28.6477230737382,29.7109757529014,55.5744820967508,29.1202337418877,30.1220777179392,55.2244325749859
"2",27.6863145679243,27.5616693057165,54.2960360929988,27.5804419818298,27.4958498632324,54.0307077463078
"3",27.2798276944489,27.1097415166866,53.3191793679397,27.2236136724347,27.010995718767,53.1074587507002
"4",26.9947459801099,26.8119114433842,52.4646990551643,26.9264787801538,26.7547584951737,52.2971730720317
"5",26.6244999626368,26.6627000015362,52.1586940027217,26.5617312031979,26.6261820235604,51.9940513243437
"6",26.5931437713189,26.5284174341474,51.6873332396436,26.5196590124101,26.4751498225089,51.5635774273735
"7",26.4774093242263,26.2321639294333,51.4843832852727,26.3811734964804,26.2044894346158,51.3417783329218
"8",26.3890727899061,26.135558237891,51.1211529077245,26.2384050218093,26.0646587980333,50.9898052804212
"9",26.1937981623758,25.9436534156521,51.0020893476706,26.1408277425878,25.8875280094971,50.7607724201212
"10",25.9312306121473,25.8565267111376,50.5191579810671,25.8657173469195,25.7722166489642,50.3812138691178
"11",25.8532097896511,25.702784313961,50.2080346981638,25.7839194347502,25.6406539300583,50.0555747902951
"12",25.6727568735365,25.6722863495932,50.0328132129546,25.6356722928876,25.5969328677089,49.8251342572002
"13",25.6278298098174,25.606456775526,49.7741507664974,25.544236390231,25.5289317598191,49.5024333138734
"14",25.5036958657202,25.5389461053046,49.4860066886133,25.4404300651282,25.4928728231815,49.3875421008663
"15",25.4892809147455,25.3934060186361,49.2533808004116,25.4211891431232,25.3174713324972,49.1371761107691
"16",25.4002986134961,25.323238950978,49.1218563583165,25.3204907697241,25.2480834844899,48.9406901982068
"17",25.3077287156358,25.2680925507875,49.0026170187349,25.2392153356958,25.1728891002097,48.83128446833
"18",25.2365648203187,25.2061863255965,48.8881069028236,25.1788441182565,25.137936376749,48.756736050628
"19",25.2249057082256,25.1012912569393,48.670220855415,25.158875566643,25.0555055451951,48.534769629701
"20",25.1758998093948,25.0677058101301,48.4928408769846,25.1048805733827,24.9893621571342,48.3799354500772
"21",25.074879955461,25.0074025955204,48.1859426987954,25.0126633196867,24.9640863460289,48.0721952717447
"22",25.029305235675,24.9417929531039,47.8187158515191,24.969704815038,24.8471009837291,47.7057826613804
"23",24.9466589678305,24.9098233863407,47.6920925501518,24.8610284776218,24.807582848761,47.5840845003096
"24",24.8723715941197,24.8542979696549,47.4516192607456,24.8183332115648,24.7963530631007,47.3650591055687
"25",24.8457817331809,24.7905447839874,47.4162039726417,24.7880665199286,24.7563356520564,47.3140868660271
"26",24.7818128465368,24.7515739517321,47.1860882058488,24.7340665187995,24.6719738422562,47.1153299415272
"27",24.719952797782,24.6533841999684,47.0743581117492,24.6668706533527,24.610318738627,46.8943719372787
"28",24.6897374148432,24.595307070357,46.8951061732997,24.6349451758339,24.5849956319045,46.8042977138238
"29",24.6327513867306,24.5871763753687,46.8333112741611,24.5812822626567,24.524646917161,46.7312883534775
"30",24.5588892891677,24.5220198697291,46.568368996755,24.4977183871294,24.4716806285084,46.4530494890498
"31",24.4790214507369,24.4646412071071,46.4457030632596,24.420677035235,24.3945568523765,46.2872629475044
"32",24.4511197275496,24.4144492233581,46.3304768420021,24.3950210368375,24.376691120931,46.1982369156302
"33",24.4094670423255,24.3544904237612,46.1185550797397,24.3701716048663,24.2909528238905,45.9891242119262
"34",24.3496973274535,24.3052451184458,46.0505302678341,24.3063383159087,24.244646526041,45.9504141406997
"35",24.2929897498119,24.2309695170811,45.8974300818979,24.2271625812842,24.182760385027,45.8098288815056
"36",24.2801052087438,24.1902486495184,45.8511043823192,24.2042940637649,24.1234446233678,45.7323523738489
"37",24.2046611014926,24.1290593959798,45.8084364813705,24.1426504030124,24.0864750143338,45.6873774941062
"38",24.1288222042267,24.0798315466829,45.7662179346105,24.0445303552481,24.0192288909463,45.6438781429095
"39",24.0735200488673,24.0065543557351,45.6391505512447,24.0261257112019,23.9581016524972,45.4150155398011
