"","test_residual_our","validation_residual_our","train_residual_our","test_residual_our_modified","validation_residual_our_modified","train_residual_our_modified"
"1",21.773387994334,21.0807976926725,43.8916689025435,21.7286184657616,21.0520731380019,43.7822129095329
"2",21.00854010355,21.0646482388893,41.5087568859693,20.9580321091303,21.0168552197689,41.4415400271154
"3",20.6423578947036,20.8450924728323,41.2845411820822,20.5993718438565,20.8192328835916,41.2035539083801
"4",20.4850914621364,20.7414849089782,40.8112618858412,20.436470020376,20.7047187399686,40.5669442370335
"5",20.4247075922966,20.5896535030677,40.4495042193474,20.3762624830267,20.5456968926192,40.3691306712187
"6",20.3638663290659,20.5571268066481,40.3553410621271,20.2974175644595,20.4846670799319,40.2819080183025
"7",20.3254038843107,20.4800537811547,39.7801361519653,20.2634631893606,20.467977437253,39.7221267681819
"8",20.2340412954519,20.4145423785802,39.3800723205612,20.1952476817559,20.3804676288349,39.3336985281649
"9",20.0144854440984,20.3133833709929,38.8203776013798,19.9618697380187,20.2910322547068,38.7248862962535
"10",19.985391119592,20.161526316078,38.6895680530506,19.9035833041686,20.1401602107581,38.6016383366646
"11",19.9233800052493,20.1326910923963,38.2999409397306,19.8794088768805,20.0896285394548,38.1840532367812
"12",19.8309432788473,20.0524698118065,38.2288817939293,19.8010349056635,20.0321072136514,38.1178727582961
"13",19.7407025683747,19.9178202372488,38.0255642067266,19.6868409473725,19.8816125983167,37.8596726613313
"14",19.6271099114611,19.8980114385719,37.6856418164629,19.5881391329102,19.8426514396581,37.6672552067482
"15",19.5712369438577,19.8555896779818,37.562845066433,19.5404681352184,19.8016067441913,37.5138998344491
"16",19.5036496160759,19.831384580305,37.5551212491209,19.4582403872362,19.7624849763909,37.4803841077765
"17",19.4781418998504,19.7352759296254,37.298983972176,19.4078360088618,19.724985892494,37.2155951941046
"18",19.3997367788899,19.6925147734861,37.1419169537729,19.3456284243108,19.6748522450005,37.0785136934134
"19",19.2919784777297,19.5191394469765,36.9611260809429,19.2434538701107,19.4935263614648,36.9135770960676
"20",19.2714604800531,19.388050014744,36.7735550936074,19.2259997083552,19.357452224037,36.7373828180269
"21",19.2484614166682,19.3327573063545,36.6634664036398,19.2115599220863,19.3089332844477,36.5562197637869
"22",19.2100061946966,19.2614084876942,36.447712041114,19.1665359914305,19.2346252294698,36.4142448666312
"23",19.0999351899718,19.2423987198791,36.3424502023733,19.0666401660879,19.2131573007182,36.2718417868183
"24",19.0693253646232,19.1723546061891,36.1779529845711,19.0113483190229,19.1533097888532,36.1195466089763
"25",19.001313350237,19.0994668330982,36.0906372836703,18.9658279603983,19.062089867587,36.0537076620224
"26",18.9605252076038,19.0069544655091,35.9849602599419,18.9408042463831,18.9853026448093,35.9352316315986
"27",18.9250641346306,18.9590124147669,35.8257756223848,18.8575370195606,18.9358667090468,35.7703383698698
"28",18.8707081254594,18.9295167748256,35.6829635677304,18.8291591968747,18.9129929288127,35.6923477486075
"29",18.8500159310021,18.8780453314157,35.5897620119505,18.803857426427,18.8211867937216,35.4890992908354
"30",18.7701177118882,18.7776610266566,35.4565788415916,18.7388352624895,18.7479172194075,35.3994689880624
"31",18.7487055774544,18.7620017738192,35.3613890271451,18.7148440816207,18.7326236074559,35.281008438515
"32",18.7220634231248,18.7317514911203,35.2317449825853,18.6576231180369,18.7061803617028,35.2134122178838
"33",18.6565416007152,18.6858667348295,35.0956743273606,18.6321913414757,18.6354317488682,35.0736076754735
"34",18.5775364875655,18.6383164502222,35.0542533336645,18.5231705219769,18.6072487523969,35.0070464150642
"35",18.5445559310023,18.5407884488325,34.963648044059,18.5087415571901,18.5171310216385,34.8990737382273
"36",18.4896465838828,18.5059966154872,34.8424009327014,18.4583566482444,18.4746747010375,34.7928738767659
"37",18.4661707437879,18.4756489392946,34.8048674068288,18.4211173070114,18.445099826249,34.7523550904628
"38",18.3673683056972,18.4484545373608,34.6764333956706,18.3453843776236,18.4246193235745,34.6058489887777
"39",18.3608654636368,18.4253868099575,34.6267792320923,18.3214228470489,18.3828981821034,34.5870584845256
"40",18.3005850427769,18.4171487700396,34.5545127388486,18.2640065331713,18.373557595921,34.4844553354644
"41",18.2348224412234,18.3615005633438,34.4726387801032,18.2029750210482,18.3343460619546,34.4055500659846
"42",18.2207895949625,18.2680237230448,34.2440790612533,18.185948882975,18.2507868126412,34.1880238495106
"43",18.1922429448983,18.2316019487089,34.2043899870838,18.1486659887168,18.2074218630623,34.148099479175
"44",18.1373170100248,18.1960464856661,34.1048138283939,18.1084778808384,18.1573653934524,34.0647928938411
"45",18.1150565991015,18.1451503352763,33.8938482703316,18.0660859257299,18.0968595638482,33.8752848349673
"46",18.0343335896983,18.1161360207444,33.8281378117199,18.013380408185,18.078285148944,33.7839564598839
"47",18.0006963009,18.1048288276109,33.81310840294,17.9717623682998,18.0621643566807,33.7652280599778
"48",17.9890728475179,18.0699873325719,33.7127915102084,17.9285412810982,18.0442992016624,33.6743447554106
"49",17.9148079629066,18.0054100603802,33.641491260185,17.8809728544277,17.9860225168237,33.5622132940772
"50",17.8736506330867,17.9416035175536,33.5167109501401,17.8485746521939,17.9186912633819,33.4668842223844
"51",17.8685865225644,17.920474525611,33.4582744711114,17.8369796427624,17.8611934036331,33.4108383185297
"52",17.820188873614,17.8878776026607,33.3934127654348,17.7908596208618,17.8464360779928,33.3540055382866
"53",17.7758146286905,17.8777054044229,33.342988780337,17.7517367755049,17.8357262255738,33.2971751048695
"54",17.7075074017223,17.7695856710273,33.2951622702902,17.6814400096261,17.7539423768763,33.2434581926979
"55",17.6660175713338,17.763154934361,33.2342602392785,17.6274728365562,17.7361735517538,33.1818577629423
"56",17.6437944358271,17.7307262923574,33.1148671881171,17.5913680503443,17.6911318621602,33.0667437955679
"57",17.6195426608321,17.692117949339,32.958061185913,17.5697500503112,17.6678877297638,32.9390561156258
"58",17.5947469724833,17.6699736980887,32.9160252948696,17.5666748157652,17.6398033158944,32.8639776419111
"59",17.5690323412807,17.6241029347474,32.8911580962293,17.5576552779284,17.5920314246579,32.8521292212404
"60",17.5457157872657,17.5831721699059,32.865185773067,17.5025743311067,17.5546095729454,32.7746208594759
"61",17.4937290998798,17.5610099676845,32.7750557191739,17.4555321050862,17.530518254003,32.7171012387536
"62",17.4288863807494,17.5424070157508,32.6567330644193,17.3773048133874,17.5230668161708,32.6079525050572
"63",17.3809013700017,17.4789656457047,32.6157734331036,17.3391605864963,17.4563884686991,32.5511250594117
"64",17.3528312949859,17.4598386569913,32.4708827336716,17.3229129437307,17.4319645783216,32.4337347914523
"65",17.3060419747074,17.4264862655154,32.430956519213,17.2741420671049,17.3853671189439,32.3850890842355
"66",17.300725043827,17.3593644915689,32.2756293838052,17.2445684033876,17.3366303276301,32.2509263103861
