"","X1","X2","X3","X4","X5","X6","X7","X8"
"result.1",0.888257520162439,4.80776736212353,0.886791717575597,4.47949277815507,0.887421975364052,4,0.885984203945792,4
"result.2",0.848754864022464,4.6003130692543,0.847465316638663,4.22618124491187,0.848170538762898,4,0.846861985548951,4
"result.3",0.836654215595862,4.64644310373107,0.83480649608858,4.29538934583947,0.835933681884819,4,0.83407311315765,4
"result.4",0.831967388147222,4.71221845692016,0.829890921562523,4.92941834655526,0.831123756343746,4,0.82902894883145,4
"result.5",0.825010049248428,4.56440767509284,0.823122691558228,5.36846675569932,0.824125707902519,4,0.82224780606999,4
"result.6",0.820525744079085,4.58311167718248,0.817866423218316,5.44525714021101,0.819670774354613,4,0.817018326739424,4
"result.7",0.815235893332597,4.45617246403325,0.812752482222584,5.35572584301712,0.814378977343685,4,0.811829873562792,4
"result.8",0.814172854939237,4.40089904243914,0.810989438056725,5.00380235085257,0.813221182267764,4,0.809978868138276,4
"result.9",0.813084152062713,4.54615936619209,0.81059393627015,4.75076673973271,0.812111369391434,4,0.809486848362322,4
"result.10",0.811671630618463,4.41756192554572,0.809138294942873,4.67050484320545,0.810605922833699,4,0.807904921904722,4
"result.11",0.811573906230052,4.40216922766647,0.808839657209333,4.65635416619887,0.810409481529623,4,0.80750391512234,4
"result.12",0.810915596655769,4.33440819876849,0.807902474553554,4.73352187003885,0.809623110558484,4,0.80643142852515,4
"result.13",0.810559684672408,4.32736013576381,0.807625648255962,4.76709755979426,0.809141271270813,4,0.806013444526112,4
"result.14",0.810059690755064,4.3178579853501,0.807538208085049,4.62638371671944,0.808528251409844,4,0.805791178297965,4
"result.15",0.810274651392226,4.84346516803771,0.808192930543511,4.72111661394812,0.80844661736074,4,0.806229887502854,4
"result.16",0.811660460512204,4.84580535358954,0.809497198846906,4.56560560456266,0.809724547315784,4,0.807405810485858,4
"result.17",0.812542677591895,4.77100388461848,0.81027814619739,4.59709061659535,0.810421378342048,4,0.808073849584813,4
"result.18",0.813651794685991,4.81496545188773,0.812010637441548,4.75015732207619,0.811282722208185,4,0.809479675323799,4
"result.19",0.814538354784276,4.77115227240975,0.812827436522746,5.01959071438134,0.81201824581082,4,0.810109808510323,4
"result.20",0.815749432489138,4.75873820269491,0.81370189825816,5.23284073623338,0.81303590384903,4,0.810759417270823,4
"result.21",0.817060918376477,5.04537340181645,0.814912823386294,5.59100094713574,0.814207262564275,4,0.811813692644183,4
"result.22",0.818649171000194,5.04101605242863,0.816218740679412,5.58733723738333,0.815641969532092,4,0.812846484849463,4
"result.23",0.820610072852445,4.89448677556255,0.81835782167038,6.55912257583807,0.817397724069958,4,0.814709867882841,4
"result.24",0.822935483867648,5.78486259686448,0.821009247473769,5.95936512132623,0.819278634285897,4,0.816836232651415,4
"result.25",0.824950142419027,5.87183272003739,0.823287084342504,5.94561602027786,0.821050924354465,4,0.818929635348168,4
"result.26",0.826909986014413,5.38923990738746,0.825556399307924,6.2322002385095,0.822856713589048,4,0.820883193780231,4
"result.27",0.829215347058124,5.14302336001462,0.827954657965141,6.80852688252346,0.824927732205238,4,0.823012252870402,4
"result.28",0.832275791987698,5.05248833583769,0.83070188663128,7.17878910566559,0.827629703044161,4,0.825383748688029,4
"result.29",0.834717881369475,5.25991775825877,0.833048788992873,6.97016060989081,0.829765372705808,4,0.827363195155292,4
"result.30",0.837842932727155,5.38001468848705,0.835758312376868,7.18838039108839,0.832452142571524,4,0.829738754481355,4
