"","X1","X2","X3","X4","X5","X6","X7","X8"
"result.1",0.911898386219088,4.814804229443,0.907837637105268,4.33840445453273,0.910974300775436,4,0.906906730939656,4
"result.2",0.871648695779142,4.51967643763159,0.869200088853944,4.02271805467665,0.870662387988129,4,0.86822517001588,4
"result.3",0.867626579820431,4.24343720189174,0.863641951764312,4.1289032625589,0.866487619907936,4,0.86256762314279,4
"result.4",0.861415606611753,4.42971440391203,0.85937003708049,4.29952561169923,0.860108194598398,4,0.858058139116654,4
"result.5",0.856429868015306,4.75104257419375,0.854277631107231,4.37022879619897,0.854797487561602,4,0.852835172567994,4
"result.6",0.855562732905813,4.77342449891678,0.853170599741342,4.36248724935593,0.853761741810226,4,0.851523270861501,4
"result.7",0.853455808548035,5.183379977542,0.85045580850577,4.68457613453835,0.851403459868842,4,0.848525506923471,4
"result.8",0.854857221008856,5.2806720579836,0.851516979914861,4.74186380078064,0.852631261821397,4,0.849315547081155,4
"result.9",0.8567512562323,5.2271869748864,0.85320754660716,4.80191503375163,0.85441380365245,4,0.850888225639513,4
"result.10",0.858164173897736,4.21768555612829,0.853618166184771,4.811296957621,0.855615431284224,4,0.851139423635107,4
