"","test_residual_our","validation_residual_our","train_residual_our","test_residual_our_modified","validation_residual_our_modified","train_residual_our_modified"
"1",23.0418400094769,21.6355974456801,44.3259365840698,22.8832737189166,21.5338752262388,44.2542475822537
"2",21.1455058842056,21.386953146792,42.4380005564949,21.0896078052364,21.2260415491689,42.3505097233322
"3",20.8999396648868,21.1323455401563,41.8149527286106,20.8471483933465,21.0457818024001,41.6588667685409
"4",20.778248711478,21.0582430478807,41.5212591924672,20.6875836221835,20.9701492661162,41.4631440164399
"5",20.6055731840678,20.9547425833761,40.8957686611638,20.5133409254413,20.9095630041298,40.7755052483795
"6",20.5451186928035,20.7414061059457,40.7685670706964,20.4880700119245,20.6798245989062,40.646756266444
"7",20.476989658225,20.6548611086907,40.3342337934075,20.364747214803,20.5352011912236,40.1640886460272
"8",20.3565951308443,20.4960597801591,39.9087578871189,20.3074260677556,20.4682329959724,39.8418679002803
"9",20.1596021412323,20.4506677128539,39.6971526155726,20.1074787196746,20.3835918615597,39.6474073167358
"10",20.1302612141722,20.3406396735047,39.2820865118988,20.0791103589204,20.2986568953306,39.2122844638239
"11",20.0300926142258,20.288298095074,38.8792410017769,19.943929441055,20.2031987885193,38.8418164869986
"12",19.9543262237895,20.1936287886094,38.625947809979,19.8861187535312,20.1164117342393,38.5512320003212
"13",19.9152909372787,20.1228198521757,38.3557869875502,19.8570669882329,20.0569873503455,38.2928241509401
"14",19.8017217727591,20.0291045764136,38.3036784302796,19.6951531879781,19.9543725895577,38.2074033184345
"15",19.7184207946432,19.8990146309902,38.1914701716751,19.6823466289226,19.8623848679095,38.11130544591
"16",19.6131146548089,19.8813423666135,38.0426633158163,19.5520616834814,19.8216109283359,37.9734828269547
"17",19.5722250975733,19.8519279767443,37.8084189218497,19.5194339795429,19.8179896565386,37.7615884295997
"18",19.523897804609,19.6808467024818,37.7071140488207,19.4549214292503,19.6346880248195,37.6347514472265
"19",19.4697985517606,19.5999399932599,37.3601319308042,19.4121136851606,19.5487412397813,37.2968583003485
"20",19.3777740341789,19.5125114947242,37.1305233184489,19.3387693070422,19.4848474336454,37.1300467177047
"21",19.3536391523571,19.4238221250207,37.0499544766485,19.2943875231153,19.4035734403747,36.9939734870291
"22",19.3312795822334,19.3835137671272,36.846280931084,19.2799355594209,19.3321329509516,36.778043640018
"23",19.2273273200956,19.3162388473723,36.7241132767921,19.1733370731551,19.2635258766672,36.6302600707814
"24",19.1951329407543,19.2373275863943,36.6554970049077,19.1683219614827,19.2121073533071,36.5768378365636
"25",19.1320972552412,19.2182655966876,36.5085481431528,19.0870978412693,19.1786908885943,36.4396438240092
