"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",1.26887900294515,4.74258152287349,8.17793164168699,2.63788455243367,1.37614906868548,5.10203464765248,9.02745596206397,2.73146693616579
"result.2",1.26873925031012,4.74187483719216,8.17774070408529,2.88721972915461,1.37591855638624,5.10088281015377,9.02434198401477,2.73152570982581
"result.3",1.26822839458977,4.7405445871633,8.17037132063037,2.82363046059281,1.37521761735457,5.09738086243741,9.01487226061895,2.66030198710782
"result.4",1.26677143588654,4.73561361350586,8.15943677027207,2.74134011056098,1.37313489635728,5.08698023556649,8.9867275110132,2.74880151993893
"result.5",1.26239341674575,4.7199407497163,8.13055685602576,2.45885070499957,1.36697327238198,5.05625193029431,8.90339601771733,2.57896110316938
"result.6",1.24949491349829,4.67565789684207,8.04151390053423,2.77685611257275,1.34925919440559,4.96824415316275,8.66316736390357,2.84909872347541
"result.7",1.2153725070566,4.55585274825777,7.8006904553839,2.66706706086489,1.3023129641976,4.73749985402281,8.03666330625668,2.74308038615564
"result.8",1.1603462745148,4.38826870448005,7.4963523493276,2.45487340338733,1.20228321504605,4.26629388923748,6.99309696970341,2.55341866105606
"result.9",1.12008773678569,4.38988889056527,6.99546960831691,2.65430444415571,1.07368080867492,3.80576924626921,6.37910481455478,2.83068548327469
"result.10",1.62334415002402,6.80094183176915,9.81467311621577,2.73064132431276,1.12306771440849,4.44576921765245,6.80963156818566,2.72596471252703
