"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",0.597827233048065,3.00902865033848,3.64448139913148,2.79434297451791,0.618762391459031,3.20887918426402,4.24387639889902,2.29267431289884
"result.2",0.597658864198323,3.0076606705139,3.64313199151814,2.79406566576824,0.618658672839984,3.20808215064048,4.24269023687728,2.29265419353642
"result.3",0.597118184074105,3.00308014285833,3.63922415764663,2.79351944534826,0.618631635300618,3.20812805415955,4.25285774135461,2.29254548349993
"result.4",0.595512751329183,2.98914931689769,3.63314914978809,2.79289859080613,0.617689707986911,3.20087920846117,4.24203192485489,2.29236720314458
"result.5",0.590767376170289,2.95044961104366,3.61937796205814,2.79225466322713,0.614909714089006,3.17944818840402,4.20998239129012,2.29184445897132
"result.6",0.576611358021165,2.82967697806895,3.55939278749116,2.79305433598081,0.6078266443299,3.12412460623006,4.13960357565963,2.29111617122977
"result.7",0.557762198929271,2.71492260132594,3.45240283610642,2.40845635502987,0.587968975042438,2.96674541561028,3.91025308466146,2.28804798140285
"result.8",0.545142986693318,2.73984253603513,3.39750311444428,2.14743095331315,0.550552539038716,2.69872036902821,3.58739424887195,2.28348639379984
"result.9",0.750313780175812,4.31688718276888,4.67975367875067,3.00480786671011,0.563213763093656,3.05939286108943,3.5426111212563,2.56920623037797
"result.10",0.884445500713812,5.18887729227169,5.4241291328413,3.07772239700442,0.933192072721056,5.44285349607307,5.84104997934173,2.74141386322801
