"","X1","X2","X3","X4"
"result.1",0.652233379193619,3.01195278975614,3.69423959364354,2.76164202883485
"result.2",0.653147281054184,3.07594779416918,3.81709320613798,2.46075569178075
"result.3",0.666043712523172,3.19084139168893,3.96491582455934,3.45064034873677
"result.4",0.653349583368441,2.94110587670246,3.35390345121264,3.04383853330954
"result.5",0.721145759967635,4.14505368887486,4.06956923605961,1.32746572328719
"result.6",0.652967903621521,3.02122880298046,3.64326994845968,1.76833760515504
"result.7",0.66191934650347,3.08224902815517,3.71624253135873,2.99075238862622
"result.8",0.657876763387921,3.13836262859749,4.39377050573159,3.46256565822924
"result.9",0.653304924627091,3.03869674361737,3.41877478792063,1.30564041324427
"result.10",0.654351127444652,3.09524813913628,4.27176515894575,3.03527897918554
"result.11",0.654635724424257,3.03217745598023,4.7345905824919,3.45104165766975
"result.12",0.646567927213795,2.97864477403941,4.11918478625687,3.49101943853274
"result.13",0.658214834124253,3.05660902842122,4.2152762437896,1.78273057238178
"result.14",0.648989134461433,3.0067095816006,3.72321302074534,1.78225279143831
"result.15",0.660849248505946,3.20019745840094,3.63503635318114,1.32719143655646
"result.16",0.646790042748614,2.93823569741349,3.51316213475465,3.24359728490786
"result.17",0.663638633985284,3.02126750969585,3.74130092648856,1.80876434088008
"result.18",0.662354789651828,3.08518239344306,3.69154016183397,1.77411457116632
"result.19",0.647177590225479,3.00133268854527,3.9422413540954,1.83220922852865
"result.20",0.648105703671716,3.06163658090452,3.29025883082848,2.76569996496382
"result.21",0.640773662831428,3.01194352548445,3.4671812301123,2.89332281539185
"result.22",0.648383475365858,2.99520133485654,3.64001138878762,2.19885681006796
"result.23",0.658069856958875,3.07371685193642,3.75557912384561,1.28757348792184
"result.24",0.658554236039007,3.04881372675367,4.82719935372419,3.24112428532737
"result.25",0.666467041145076,3.10811046624432,3.8980940282465,2.1041479723254
"result.26",0.656634704508214,3.03023302098747,3.46778340663083,2.16952148789227
"result.27",0.643566279598514,3.01214116205339,3.48480594829787,3.02443941053294
"result.28",0.654781450634042,2.97285893571775,3.79922296872427,1.84481411969076
"result.29",0.665339740141682,3.10547421857201,3.65083530390001,1.78995636806356
"result.30",0.656318148980327,3.17017893255818,4.18158733162582,1.79381331540655
"result.31",0.641659162765175,3.08327373921479,3.86020089609548,2.45212709509133
"result.32",0.653399487549771,3.04716521666073,3.49691344761671,3.24411219539252
"result.33",0.653344754677857,3.12285988179753,4.14261810990844,2.4457655277514
"result.34",0.650527035320943,2.99802886710744,3.44506664851996,3.00127253459807
"result.35",0.661948303022866,3.05648391730505,4.33073541747815,2.44575420326167
"result.36",0.65077685181689,3.04182387607835,3.48281999149157,3.01867839298062
"result.37",0.672924428451963,3.23898184577273,4.6900539109278,2.13298052199679
"result.38",0.647795510783746,3.00039105356048,3.6938845320977,2.4511638194282
"result.39",0.652900453430499,2.99780230605566,3.9522847288795,2.15257323242419
"result.40",0.65714217178004,2.95379444015976,3.77187582642865,2.76704900706136
"result.41",0.64755534079538,2.93533238873774,3.84664656448463,2.22899134736047
"result.42",0.665308249575605,3.06119445003639,3.75460963382469,3.22730992665678
"result.43",0.641782965584346,2.90943335353807,3.51674893660817,2.49871113809994
"result.44",0.644848174048753,3.04924025961015,4.27346705327852,3.02283605101584
"result.45",0.643476480141966,2.93812864929599,4.4226906371655,1.77554291966778
"result.46",0.670056690632517,3.14213396305777,3.51543052456476,3.24547508780376
"result.47",0.659170058772507,3.2190796637596,4.08246155207416,3.00968255906367
"result.48",0.64608771740617,3.0479961158287,3.61133998838455,3.45355429599008
"result.49",0.646303853817742,3.01027418997318,3.86078185452618,2.18017034774773
"result.50",0.646859025654675,3.06770362299849,4.30968493715884,3.25156502935065
"result.51",0.651619522395922,3.122526481322,3.89733216009236,2.03123657424635
"result.52",0.65198034841815,3.11273546217858,3.59853645197995,1.8380141829709
"result.53",0.667634394301318,3.08482208553313,3.70936180092032,1.78361827485732
"result.54",1.05219200079615,4.70702604903038,7.28973398412836,2.10036550955314
"result.55",0.643570544182736,2.98908332397633,3.63329294102086,1.26853038030099
"result.56",0.671090165181226,3.21174204766877,3.66000519675206,2.15487162139356
"result.57",0.65490989296009,3.02316802700982,3.62700161873115,2.19400060276643
"result.58",0.650165699232757,2.94756546858572,3.65380420906999,0.650696994490271
"result.59",0.644891662549643,3.02650575010443,3.55172322081044,1.80638196228828
"result.60",0.657616606799801,3.03280465473664,3.81095906043137,2.11549163335673
"result.61",0.648687103291148,2.96140754394048,3.867098416696,1.7641556305789
"result.62",0.652696726252869,3.05512016662193,4.3080531165301,3.24570627651699
"result.63",0.665726903811717,3.14666955017233,4.41660080035021,2.72677446408681
"result.64",0.641795539310889,2.99709350547482,3.45212405234448,1.78774109649924
"result.65",0.653410267867822,3.07495241477736,3.91098513180024,1.8136303598779
