"","residual_our","residual_our_convex"
"1",14.5946153994146,14.5813362894788
"2",14.4011826292195,14.3761152373046
"3",14.2546306279171,14.2256294460494
"4",14.105399582635,14.0845965579154
"5",14.0048614571147,13.9741374051544
"6",13.8780399292931,13.8588940420539
"7",13.7939210883059,13.7743866002231
"8",13.695121899056,13.6642823474772
"9",13.5882463923058,13.5776514652427
"10",13.5106841399957,13.4817378378065
"11",13.4133563300961,13.3932409895359
"12",13.3263933758406,13.3028599631548
"13",13.248011894,13.2174915023246
"14",13.1605542150096,13.1487063584741
"15",13.0994808689337,13.0622953662548
"16",13.0191608693844,12.9954313206761
"17",12.9368608182903,12.9153665645723
"18",12.8798299254397,12.8474716337116
"19",12.7903409045762,12.7700704303147
"20",12.7344654125847,12.6949837615835
"21",12.6659401577873,12.6357919539803
"22",12.5917360176437,12.5607518635354
"23",12.5321792365296,12.4979503258108
"24",12.4602116464534,12.4276630868391
"25",12.4042963362123,12.3656493131239
"26",12.3363507118046,12.3059738763508
"27",12.280157430107,12.2470963079283
"28",12.2176974409655,12.1831335374371
"29",12.1365869812789,12.1185646172992
"30",12.0969755271613,12.0620578491115
"31",12.0224220661404,12.0027267124534
"32",11.9552458297563,11.9388532572977
"33",11.9026820889472,11.8751642902191
"34",11.8560703710349,11.8201137977671
"35",11.7818674962311,11.7658624691583
"36",11.73407978637,11.7006501592979
"37",11.6716768708856,11.6527055390731
"38",11.6318447426061,11.5937912048558
"39",11.5662265850448,11.5439151331635
"40",11.5269029273904,11.4883564645139
"41",11.4671192659342,11.419458689589
"42",11.3980028811852,11.366684971618
"43",11.3429844257824,11.3157373777919
"44",11.3005471085161,11.2709845494217
"45",11.241149642623,11.2127601891907
"46",11.1857825553969,11.1611737095232
"47",11.1357961916495,11.1031831697165
"48",11.0706983804746,11.046351341338
"49",11.0311817230806,10.9916047445478
"50",10.9696533260923,10.9487830957512
"51",10.9229214555099,10.8955493669103
"52",10.864525389198,10.851484121125
"53",10.8278608770011,10.7949309891416
"54",10.7746826170699,10.7500679846593
"55",10.7313544100164,10.7064376555855
"56",10.6817194652679,10.6634153632343
"57",10.6290621956691,10.6045680868934
"58",10.5880301909866,10.5543441467809
"59",10.5277779031018,10.5047882807167
"60",10.4659482672069,10.4622432534088
"61",10.4287129769573,10.405631323234
"62",10.3869947011645,10.365914872065
"63",10.3351133296397,10.3145009809689
"64",10.2932940885606,10.2560902054438
"65",10.2390335853556,10.2172199491362
"66",10.1867519925389,10.162936996128
"67",10.1410830776442,10.1197345818466
"68",10.1008343481948,10.0825810900151
"69",10.0509376332561,10.0389484292488
"70",9.99640608167585,9.98642494613325
"71",9.95539612764322,9.9421847618859
"72",9.91115889541485,9.89019085475764
"73",9.863177955149,9.85253971817901
"74",9.82298308803895,9.80169017962963
"75",9.77709050724054,9.76073899835234
"76",9.72800204817189,9.71330644556731
"77",9.68924820192548,9.660293572662
"78",9.64141140863548,9.62321134946977
"79",9.58839795639636,9.57864262500558
"80",9.54991004871579,9.52634772640035
"81",9.50911049885086,9.48475328674439
"82",9.46202380835128,9.44517332101286
"83",9.42148656460795,9.40190229108016
"84",9.37519199676181,9.35521384716663
"85",9.32900357289765,9.31907935459608
"86",9.2933980405796,9.27026735323407
"87",9.24160781997571,9.22655649247175
"88",9.20634494495731,9.17722734931855
"89",9.16036980551339,9.13866982772748
"90",9.11738448309533,9.09366507787752
"91",9.0796820675761,9.05927062456535
"92",9.03530984708469,9.01348720297533
"93",8.98963692794691,8.96523326238337
"94",8.94905131229901,8.93384645032489
"95",8.90220181942557,8.88198263380113
"96",8.85702802327272,8.8385596383486
"97",8.82118313524646,8.80076804566392
"98",8.77451593178596,8.76143596583002
"99",8.72897827768478,8.71630931993715
"100",8.68688779320858,8.67565946840189
"101",8.63691272256975,8.63284278611585
"102",8.60183889421883,8.59169161384434
"103",8.56114952470563,8.5474085429889
"104",8.52224586318734,8.50358590244313
"105",8.48578833162321,8.46754093010854
"106",8.43831385051346,8.42438204932278
"107",8.40376178910326,8.38813751746828
"108",8.35876876865456,8.33452380493461
"109",8.32220392826678,8.30177682701942
"110",8.28055441259264,8.25074736885399
"111",8.2365003420413,8.21361946495998
"112",8.20063562607655,8.18091576153052
"113",8.15856957457852,8.14290182592836
"114",8.11733836397588,8.10490129838158
"115",8.07806292306615,8.0493401996724
"116",8.03008092772447,8.01571716479548
"117",7.98628190830778,7.97341340370481
"118",7.94681160918063,7.92478173544431
"119",7.917775256414,7.88801771143513
"120",7.87094851830756,7.85485158702858
"121",7.8326704830345,7.81380619729091
"122",7.79364031943915,7.78001730533687
"123",7.74880631338169,7.73269977425204
"124",7.71242179304305,7.69611389693966
"125",7.67108733997098,7.65786866324342
"126",7.64062534965067,7.61943719982477
"127",7.59835718192153,7.5763107782436
"128",7.5606927264034,7.5370965534015
"129",7.51715433820919,7.50182588182627
"130",7.47616281350693,7.46179544700834
"131",7.44157714410256,7.42310501938721
"132",7.40437150270542,7.38169749085508
"133",7.35940994198293,7.34774014861745
"134",7.32143898456871,7.30047040095656
"135",7.29312277721823,7.26826219740712
"136",7.23782695887332,7.23314435792317
"137",7.20545991223731,7.19213879345168
"138",7.16275716679696,7.14657691555765
"139",7.13187303336748,7.1121043347306
"140",7.0835811940283,7.08533894800108
"141",7.04875290668124,7.04119847910653
"142",7.01560474870065,7.00060027886323
"143",6.96454943903108,6.9639869237748
"144",6.9357339768874,6.92686288543284
"145",6.89296711925197,6.87967938519368
"146",6.85830529018799,6.83859582764588
"147",6.81238231297116,6.80216335797882
