"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",0.500914585771479,2.99167908417592,3.46093407256948,1.46765251924157,0.509501355210321,3.09673425147984,3.66239790434671,2.44037864761725
"result.2",0.50080537998653,2.99061628176677,3.46041741005914,1.4675135393974,0.509431689038528,3.09607222155711,3.66125520523114,2.44038695739654
"result.3",0.500473755904696,2.98742030910988,3.45885445550535,1.46721747659554,0.509219851780252,3.09405838650836,3.6577788301181,2.44041224268213
"result.4",0.499601112716448,2.97924358540099,3.4482084272279,1.46809051882764,0.508590444093244,3.08806806376187,3.64743440585969,2.44048752585699
"result.5",0.496601266881552,2.95003367201636,3.44246436824025,1.46614483953138,0.506997582045149,3.07261014478328,3.62263007249516,2.44036675927692
"result.6",0.48678442098518,2.85776761782237,3.37175809498159,1.47534041239996,0.501992361052987,3.02351432603203,3.54138131547595,2.4409894637358
"result.7",0.472074072288696,2.73562264778002,3.21667349640242,2.65426039441096,0.488481104608533,2.88943825687122,3.30984948749631,1.79914603289258
"result.8",0.463671909881581,2.71107540544191,3.24695213241726,1.48888282634784,0.463463452910014,2.68589774379322,3.09651954331447,1.7865255667758
"result.9",0.581008675294095,3.66085295999599,4.37099192435801,1.07733572654164,0.492095316872292,3.1490340991373,3.6620625155575,1.46999466368928
"result.10",0.710686992822582,4.83699794003987,4.52000167619991,1.41436926290645,0.883970407910869,6.01738411621754,5.30998331368621,2.45296796906892
