"","X1","X2","X3","X4"
"result.1",0.00245988022453319,0.00936450558998262,0.0125521425809181,3.44749903826518
"result.2",0.00490738123052131,0.0186806148182633,0.0253820903922641,3.37847486615498
"result.6",0.0146534485445561,0.0557902238325088,0.0755026959882115,3.25292301696645
"result.9",0.0218600328337927,0.0834075239438308,0.113316604090986,3.26732913252418
"result.11",0.0266502927610797,0.101413405817819,0.135934730049505,3.2091839261936
"result.12",0.029039297422044,0.110510741852801,0.149785651686086,3.18997541124405
"result.13",0.0313617371178514,0.119381492247673,0.160780018363347,3.1216684240913
"result.15",0.0360769520332959,0.137400932266395,0.183964500390352,3.10404135254389
"result.17",0.0408008611596258,0.155397545445198,0.210218904632177,3.04540350830039
"result.20",0.0477509068245388,0.182051284646213,0.248635985050733,3.06538539387701
"result.21",0.0500744231652571,0.190827085783626,0.255857372220166,3.03975460299658
"result.23",0.0546356811121949,0.207962176290387,0.278849358234476,3.02176533289369
"result.24",0.0569443914198358,0.21696167077162,0.290291636259111,3.06775244624594
"result.25",0.0591951512088159,0.225615608033338,0.304631722774017,3.02314667838837
"result.27",0.0637605358449044,0.242866317668033,0.325617347970108,3.01029220488007
"result.31",0.0726889096694205,0.277486753241649,0.378329543253327,2.97919160431543
"result.32",0.0749585027406406,0.285524971827497,0.383062696742622,2.97540001506612
"result.33",0.0772270376550844,0.29444416560828,0.397124850104756,3.03186067311281
"result.34",0.079434715219988,0.302782775484281,0.408890683659036,2.96243068093087
"result.37",0.0860775596202855,0.327898979649449,0.438672245452663,3.00398609496807
"result.41",0.0946689849524599,0.360894825090744,0.482706432359851,2.98675344860272
"result.42",0.0968893270809807,0.369429091808532,0.496025010202119,2.95129238155278
"result.44",0.101148680873454,0.386035996462554,0.51309413567687,2.92173455627022
"result.45",0.103321200522256,0.394101854831809,0.531683316396892,2.9708113884585
"result.46",0.105388770358678,0.402451460104432,0.537933271668676,2.93199178077239
"result.47",0.107475135742049,0.408799155541081,0.554947901112115,2.95743478091452
"result.50",0.113776552668816,0.433819955594234,0.587716712295343,2.92785090533907
"result.52",0.117979599577439,0.450110963883514,0.598568625105864,2.91656978887666
"result.54",0.12221582922963,0.46584148378191,0.620331339234473,2.9597160098071
"result.56",0.126245527905711,0.480906536863282,0.65154281696311,2.96111266130968
"result.57",0.128140172478571,0.488131039971346,0.652793121690193,2.91183835853796
"result.58",0.130220269335043,0.496673537802378,0.664211594839542,2.91368088719324
"result.61",0.136497891531,0.520794534097149,0.69800241173818,2.92170009398849
"result.63",0.140259545498464,0.534869263620921,0.719283551212954,2.91611614752418
"result.66",0.14644010660283,0.558402651167492,0.74277994116613,2.91401849902822
"result.67",0.148356606578162,0.566051129557042,0.760612759584439,2.91740618317482
"result.68",0.150254173467222,0.572709164157043,0.764221684446465,2.91619063825151
"result.71",0.156217221097846,0.595564281961915,0.79612726559961,2.89572323252035
"result.75",0.1640124593956,0.624893054522431,0.84361323914429,2.92046353408525
"result.77",0.167747412522079,0.640230997976089,0.8660911639976,2.90353756269321
"result.78",0.169701766458599,0.64723568435957,0.868258554654378,2.92707790714581
"result.79",0.171521960751219,0.653863704756834,0.874531321339283,2.92155163347914
"result.80",0.173464113481025,0.661185137611183,0.883675716454695,2.87891425930453
"result.82",0.177236762184879,0.676277496541916,0.909773556324546,2.87287758491392
"result.83",0.179038630021032,0.683961296141062,0.914827872518421,2.89590930617032
"result.84",0.180884805310216,0.689359305812308,0.921936926318483,2.89344272723622
"result.86",0.184581861210284,0.703061018112037,0.951024649907728,2.88932629532816
"result.88",0.188413533984826,0.717232266221636,0.979098753238202,2.87860989940635
"result.90",0.191846146484116,0.730936258593938,0.983183482808385,2.85752951074227
"result.91",0.193722549077034,0.737860745404876,0.989360815491289,2.8768981802984
"result.92",0.195537988976396,0.746120893258695,0.995377163022374,2.86314659731308
"result.94",0.1990111436021,0.758629813047134,1.03362216395425,2.8656804715101
"result.97",0.204418198043577,0.778444895931363,1.03781889760938,2.85736511554858
