"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",1.12738764392455,4.51551111959541,7.4924280324027,2.30563572417374,1.14205739282267,4.53319314787018,8.29461221103095,2.26537818208261
"result.2",1.12706838422287,4.51367757632266,7.49244636256804,2.20323587563964,1.14180364226157,4.53155518902877,8.28818363193862,2.26543220352956
"result.3",1.12646518477378,4.51166761017511,7.49009454112287,2.30587628227223,1.14103313645364,4.52658637628481,8.26869731565765,2.26559554727388
"result.4",1.12449741253404,4.50366295701977,7.47145706651961,2.3061394135348,1.13875340649031,4.51192661398085,8.2113359237819,2.266072939513
"result.5",1.11856666894888,4.48031932840679,7.43300126843932,2.14892090340481,1.13209275218371,4.46943831833197,8.04614509867906,2.26742125244851
"result.6",1.10097681651816,4.40594921792952,7.26014899716522,2.09266024405108,1.11430050503644,4.35777034198637,7.61434823349514,1.93963831641033
"result.7",1.05113026459749,4.16707171403517,6.94972292569685,2.58137865208765,1.06996752001381,4.09925637143521,6.8450513536496,2.2792646721255
"result.8",0.970933820606723,3.80021683096617,5.77315582273109,2.24426408525171,0.985683410660688,3.706606150816,5.60012127898352,2.13558936424622
"result.9",1.01039496786301,4.47967570402395,6.62933947783681,2.30113789443411,0.911264254762676,3.62375030614448,5.25001762327249,1.982263663782
"result.10",1.5081158136687,6.91192169688331,8.54975597906107,2.43400247284232,1.0959202949136,4.85557912219481,6.90341922341134,2.09745389248498
