"","X1","X2","X3","X4"
"result.1",0.704456688070621,3.41975209607903,3.98506664145778,3.23445693642155
"result.2",0.686495263752245,3.30745950954997,3.97380005490384,2.98282758023638
"result.3",0.700812527990534,3.39502542284257,4.49697372430336,2.73292795874334
"result.4",0.707662912611254,3.35366317819237,3.82128291553918,3.05774402147663
"result.5",0.697630276208128,3.34685204011116,4.2129758986194,0.514521789003283
"result.6",0.699097858475866,3.4081392851292,4.29189289143861,1.29270156594563
"result.7",0.706727684712319,3.37614590038713,4.09445274147051,1.82209136933826
"result.8",0.701247635868831,3.43696156768954,5.20269994729677,3.01556497310472
"result.9",0.700351325029395,3.32552447114915,4.00435303969967,1.3194980355524
"result.10",0.699113325759033,3.39057608356724,4.92591541282584,2.74554086459883
"result.11",0.712822182725407,3.47159405353726,4.6307419345789,3.43830378125932
"result.12",0.693492399457855,3.27378134603978,4.3030193146368,3.48913725057232
"result.13",0.702515851312421,3.36294431299959,5.41219981052802,1.77969959256016
"result.14",0.690071886248542,3.29423900399782,4.22412098607743,2.15367223054147
"result.15",0.710064967148483,3.56824202112575,4.10258681990429,1.33266281098964
"result.16",0.694410169752259,3.25876934868124,4.55928619748079,3.2246455585864
"result.17",0.708277074400056,3.3175144671216,4.31538024911069,1.76356443557605
"result.18",0.706619524870402,3.33535936952237,4.38672339104655,2.15667430886223
"result.19",0.697728132745781,3.39405364595977,4.07850790926899,2.73136859348788
"result.20",0.695487487984558,3.3256704319244,4.63924887583086,2.41693095097293
"result.21",0.704369044627311,3.33630407433261,4.71772900048504,2.64669348833966
"result.22",0.694497852264709,3.36647174145217,4.13498689454115,2.96765558845761
"result.23",0.722750021719608,3.45296899034415,4.3369707656565,2.09753648924788
"result.24",0.708051463625057,3.39914052624803,4.70202631995631,2.79165026192441
"result.25",0.708253600389566,3.45025689053731,4.39916887725447,1.72730819048977
"result.26",0.707408605153941,3.43209326623247,4.43387189667391,3.22967670918014
"result.27",0.688927710049562,3.3375999850824,4.34847834827088,3.4550928060135
"result.28",0.697408546894893,3.2951193853206,5.09289897362033,2.18004737201595
"result.29",0.707435499666563,3.39529388888205,4.44497938385972,1.37855055843705
"result.30",0.703517420435876,3.45116358170165,4.57416634601866,1.83766221096956
"result.31",0.695544107585275,3.48632302761108,4.24149925967124,2.44868846178745
"result.32",0.701839751281421,3.37755889642005,4.16720213064483,3.02050128170187
"result.33",0.708420862040107,3.49027324494125,4.57286159037076,2.13270683440099
"result.34",0.694804159105217,3.30257790166541,3.89584348121083,1.81956446502413
"result.35",0.696504226380022,3.35311200522545,4.65815428625557,2.13055512620876
"result.36",0.696992600160363,3.31108139810284,3.97386271144016,3.01148694252358
"result.37",0.720546097811927,3.50712826845579,5.49510119755642,1.77607943449829
"result.38",0.699610407094629,3.3709253411199,4.55042119219751,1.82002983740177
"result.39",0.699713204802703,3.3411727501904,4.6710929660622,2.14419499316477
"result.40",0.706802600700171,3.3802659477502,4.30929880546127,2.74325829273607
"result.41",0.704657438361858,3.3622718049147,4.73150376093128,1.60684506112212
"result.42",0.713387953147521,3.38539866448123,4.31764298790183,3.43727810391949
"result.43",0.693096203315398,3.27854514532701,3.80151986510206,2.98901982474303
"result.44",0.687755290675095,3.39515048325527,4.43775328430222,3.2376779445459
"result.45",0.697413304616817,3.33363717057198,4.54585228235109,1.75236823060311
"result.46",0.70817338069145,3.40040481811121,4.32820305620576,3.24374523453256
"result.47",0.695952407531288,3.48003684776521,4.24190721804645,3.46418766038381
"result.48",0.689478476267678,3.25335800400995,4.31895821063397,2.99855201881458
"result.49",0.689416091539525,3.30234225164624,4.13310390255887,2.15760802536252
"result.50",0.698977446274569,3.41975208572145,4.83022415614672,1.77395555578144
"result.51",0.696961097217687,3.46695788568547,4.26731002864462,3.00148669557897
"result.52",0.692800892049774,3.44200875281013,4.46147204882499,1.79193992272467
"result.53",0.719040004691231,3.38668822961997,4.54157286754997,1.77485110479879
"result.54",0.68925432086822,3.21962792888474,4.05697685041683,3.01864433153039
"result.55",0.689723259389094,3.27838706658635,3.87857031780332,1.75519475788968
"result.56",0.714602796843099,3.54585134498018,4.77375081355334,1.79300783884247
"result.57",0.696822841539115,3.30872714589107,4.63035394310482,2.47769185750958
"result.58",0.711234379130923,3.43209568495454,4.2596065667168,1.77301581671773
"result.59",0.700971338819224,3.28504241970934,4.36774703160185,1.31124933535451
"result.60",0.696961880532398,3.27689717933612,4.48119708413335,2.44119583428138
"result.61",0.692763072334262,3.27844713479013,4.32207686657175,1.76640685659041
"result.62",0.7028023861478,3.37992269906733,4.22851665461876,2.76126012511456
"result.63",0.716381812182842,3.5024720034647,5.16102772538845,2.11000986746159
"result.64",0.693540908460551,3.36401378053517,4.00334948449104,1.79392870484156
"result.65",0.70388347668155,3.40157021781715,5.80354777110549,1.82354911757198
"result.66",0.715226451138151,3.54491190261994,4.87531535288436,3.02920430076472
"result.67",0.708593968797622,3.34280885511673,4.00665742739139,1.76980721052575
"result.68",0.70785290711643,3.55568091281762,5.01161420286028,2.11033644209765
"result.69",0.70105704662801,3.30198653401746,3.94813434616187,2.48014082425057
"result.70",0.702290177402398,3.4562480389032,5.05805687085265,2.78109197570594
"result.71",0.703256878157197,3.35116368399073,3.96889941775495,3.44768729329385
"result.72",0.699441821232114,3.36993096878889,4.6695839114052,1.77562614185579
"result.73",0.701851907422532,3.32017916499436,5.37881364802234,2.14376063427217
"result.74",0.697830659185146,3.27670891241534,4.79119934800894,1.29855357687868
"result.75",0.700872444059028,3.33355960581958,4.02153938818135,2.1186796740025
"result.76",0.708979653924763,3.45446743693709,5.26758570028018,2.15075665290176
"result.77",0.706671366510698,3.45216252401204,4.42443732031715,2.17038388794233
"result.78",0.696394478906039,3.38447767227156,3.97589054871905,2.76771016055933
"result.79",0.69967268498974,3.31709128087029,5.45020703266055,2.16939718502684
"result.80",0.696296236436803,3.43262670845607,5.70963339177622,3.6287433722888
"result.81",0.696366821449183,3.37736750569501,5.02156993233735,1.75774192833772
"result.82",0.690887366227147,3.28912695661715,4.0581162217449,3.00586134839525
"result.83",0.698640497044747,3.32796731275047,4.1369328851678,1.36877449069925
"result.84",0.70862045226919,3.40637661262774,4.49925409206001,3.22938207623998
"result.85",0.701129081683365,3.50037322053981,4.4099132824865,1.85113838523513
"result.86",0.686053179902415,3.2687836352446,4.74034770482859,1.75063771970078
"result.87",0.708431624798348,3.49169619963752,5.32724756364306,3.01413730454251
"result.88",0.698416394966719,3.29654555611807,4.18369119760788,2.13371557985413
"result.89",0.712888731292874,3.50808889425645,4.21016934236308,3.22580380925977
"result.90",0.708847819449071,3.35819248562431,5.39992565545683,2.15876330285734
"result.91",0.69528305669885,3.32423943850195,4.23649959281498,3.00219278202633
"result.92",0.700802960156355,3.40101158015062,3.78136980738947,1.75725446806242
"result.93",0.716863142720655,3.52547580160481,4.96902098243317,3.59782009354554
"result.94",0.710109049708665,3.34897831925207,5.44556246189578,1.3710392682532
"result.95",0.698909986897414,3.42560434426431,4.80215429111986,3.24648325723334
"result.96",0.716561198689179,3.46579856026007,4.53522959332966,3.57920168102095
"result.97",0.694371421343297,3.28092024575289,4.46269888209777,3.02209001175084
"result.98",0.698893979301197,3.42164879559864,4.59570427302569,2.72915239707855
"result.99",0.694824709634559,3.31668531038127,4.2933502633608,2.48876715720093
"result.100",0.712027380284682,3.37748128531741,4.80304030631966,2.47268788140848
