"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",0.878931038361784,3.49716098091879,5.92484167410119,2.66134804726925,0.919934280447098,3.81453128653678,5.87560138088168,2.64034517098689
"result.2",0.878853772562233,3.49700005829075,5.92501818641081,2.3113351273216,0.919853033577583,3.81409012533766,5.87461889766739,2.47187004978708
"result.3",0.878646274500907,3.49587939195684,5.92580522057056,2.48615210907294,0.919605846089547,3.8127477937446,5.87163015903769,2.43559235276042
"result.4",0.878008509161424,3.49316080321132,5.92488622729722,2.34051274948788,0.918870187131008,3.80875167970951,5.86273872845592,2.66969522283899
"result.5",0.876068061243383,3.48383375598721,5.92674500184141,2.77552774723256,0.916683345171501,3.7968622079515,5.83633557271865,2.66987974834427
"result.6",0.870449123977353,3.45942064175288,5.92029251200662,2.52255254254668,0.910811082050522,3.7640973489977,5.78101767014502,2.9667216224774
"result.7",0.85652149311499,3.41842046458177,5.93640067588292,2.6200665603941,0.893895090034424,3.67162718669588,5.65050600349312,3.12263800872046
"result.8",0.839944488155944,3.4039613137037,5.90237512938702,2.29944910231292,0.854478718394701,3.45288897371367,5.35752357296575,2.37976325602243
"result.9",0.905807590117569,3.95459605474189,6.44897339317314,2.47250913232536,0.797882453980917,3.23256723895152,4.97256993838902,2.3122973088038
"result.10",1.07280271170887,4.8503630371683,7.70453083609565,2.33925579557997,0.889027970516231,4.12130922509656,5.7502673579969,2.48374011473061
