"","X1","X2","X3","X4"
"result.1",4.00024730541472,12.4660105571629,23.9057769744186,2.44064834218037
"result.2",3.8315597256878,12.0055579443268,21.6356760992916,2.44798106185338
"result.3",3.92241699133304,11.9854097560312,23.4589696170685,2.48633773782301
"result.4",3.77788707089832,11.3985556208236,22.4211804835028,2.50706035960327
"result.5",3.71782437717966,11.3569239186455,21.9549929438268,2.52105802571732
"result.6",3.8768323673569,11.7174100005378,24.548829821991,2.40144460592102
"result.7",3.89192975035955,11.9106496902434,24.1286445971185,2.16364024186693
"result.8",3.71827113271682,11.3483316455758,24.6765500417127,2.48978324384302
"result.9",3.80462367982506,11.6499900365801,26.3304253796269,2.5716849280224
"result.10",3.59217269571165,10.6962331039781,21.7727489094183,2.50669713732176
"result.11",3.721679789595,11.4487264287628,23.7806457678382,2.4141472940208
"result.12",3.91240084276193,12.3087539848637,22.5492491166782,2.44717532780197
"result.13",3.59213400643807,11.1761121947478,24.5498088561985,2.44831683646107
"result.14",3.88021705866134,11.9807173476607,24.8546610565659,2.44367638513117
"result.15",3.86097057690182,11.7864789521235,22.6075395955751,2.42466872599145
"result.16",3.7354921880575,11.5021739104149,22.7278547820251,2.45849801691027
"result.17",3.6296135656119,11.0425791324129,23.4513941890384,2.37166237757818
"result.18",3.91113642005079,12.1805634190807,22.3723953493946,2.44639660886726
"result.19",3.82517925162291,11.9887566451174,25.272266052176,2.44882559735954
"result.20",4.00044178354558,12.4613935124652,25.7106832154438,2.42105079695919
"result.21",3.73907402877695,12.1681990088548,26.7626041277434,2.48882414981262
"result.22",3.61981196493672,11.1349761422004,22.288417951814,2.4637240144732
"result.23",4.11027707987203,12.685789139384,28.698472883097,2.4019453459085
"result.24",3.9752158085796,12.5094466399493,27.9678026133325,2.35624453232931
"result.25",3.99198017897298,13.0813146509162,26.1080028690336,2.40775822997199
"result.26",3.82232265714875,11.5321227273949,24.0586980471046,2.40109040130359
"result.27",3.88036978137435,12.6251447744611,26.4430129866153,2.53126876497924
"result.28",3.63782433967015,11.3809085242972,22.02478979675,2.37951125791232
"result.29",3.75558697445925,11.9051019027027,23.3464003181214,2.31687165198827
"result.30",3.77434732816736,11.4793375535061,25.3004172216629,2.32211407256261
"result.31",3.60370743178819,11.170088900884,28.3481515693946,2.52488298474312
"result.32",3.82698956840669,11.4847393182597,24.3434225107028,2.45840657308812
"result.33",3.70923382512507,11.3498236695157,22.3323047251256,2.4862376939138
"result.34",3.79995100231329,11.5577949454075,20.8293123297316,2.52607680001326
