"","residual_baseline1","residual_baseline1_convex"
"1",14.5880128486329,14.5705368855734
"2",14.4531715706602,14.4510798875651
"3",14.3779511898189,14.3732195612216
"4",14.2581151917515,14.2493768325422
"5",14.1900153623759,14.1836289044363
"6",13.9743450395968,13.9663807888654
"7",13.9149001709724,13.9165238013248
"8",13.7517935606121,13.7472619788854
"9",13.742243619756,13.712663620012
"10",13.5869195907688,13.5922939127146
"11",13.4743542349336,13.4609209563481
"12",13.4209354038399,13.4182027998737
"13",13.300151567781,13.2923406711051
"14",13.2618083901131,13.2496608147006
"15",13.1693783065737,13.1446400309904
"16",13.1129444151048,13.1082222537526
"17",12.9872526851905,12.9818461830256
"18",12.9616661966541,12.95721019252
"19",12.864717760185,12.8617395172713
"20",12.7792647090671,12.7814765455248
"21",12.7380080531934,12.7393862403164
"22",12.5744007917698,12.5616881209721
"23",12.5113216498223,12.4961668515456
"24",12.4440007718823,12.4511288163192
"25",12.3971563898269,12.3930096333841
"26",12.3616541319901,12.3597462001169
"27",12.3039912699683,12.2779912773216
"28",12.1962519399996,12.1757769376918
"29",12.1450510575644,12.1563172322279
"30",12.053224888566,12.036038214602
"31",12.0067732520438,12.0082962703856
"32",11.9424956531231,11.9357729459546
"33",11.8818545013658,11.8649789023012
"34",11.7772721524059,11.7809925646173
"35",11.7462094454217,11.7271511741049
"36",11.695027487168,11.694375726296
"37",11.6381216376975,11.6305483491687
"38",11.6220959031244,11.619509036267
"39",11.5614351623798,11.5586427101668
"40",11.5279553147279,11.5358244404558
"41",11.4590784108065,11.4497931639134
"42",11.3902140881224,11.3641587759714
"43",11.3012932324071,11.2971324826324
"44",11.2842015491476,11.2599341650543
"45",11.1941571447123,11.1661234126889
"46",11.1565695460573,11.1429409492658
"47",11.1240250734601,11.1009535591663
"48",10.9385274855174,10.921118461394
"49",10.9160776893058,10.9037586237275
"50",10.8772189961739,10.8799218611654
"51",10.8150817761037,10.8260084421563
"52",10.7826311435571,10.7750574975294
"53",10.7540350362253,10.7515646840446
"54",10.7229942507987,10.7228610708465
"55",10.7060427917359,10.6935195364952
"56",10.6372911812683,10.63424086291
"57",10.5618579302466,10.5421888701314
"58",10.5425614566238,10.5132688644257
"59",10.4962026413038,10.4969146668387
"60",10.4464325667848,10.4486140005406
"61",10.3874915985658,10.3579173282946
"62",10.2663532922461,10.2553730240025
"63",10.2445572761108,10.2456360272717
"64",10.2141237472045,10.21863459269
"65",10.1955932021041,10.1718489019055
"66",10.0914930020415,10.0781276774752
"67",10.0480428936597,10.0586329386493
"68",10.0352881074551,10.0269015991852
"69",9.95631836400096,9.93286491828841
"70",9.89799625785429,9.90485103194687
"71",9.85788894112653,9.84155453633264
"72",9.82972605726042,9.81331258857572
"73",9.76667376638247,9.77588205920473
"74",9.700776512071,9.69394648136987
"75",9.67732245024662,9.66564680752367
"76",9.62122941474139,9.61409760707793
"77",9.60053052032183,9.58595054737513
"78",9.51835206449763,9.51275633647277
"79",9.46430825030165,9.44397297623882
"80",9.4473097870915,9.44203827808037
"81",9.40283169623189,9.41934194566642
"82",9.33054226386044,9.33794208228684
"83",9.27418208892715,9.27654634264597
"84",9.25896868134335,9.23956471923323
"85",9.23507067258426,9.2134294147513
"86",9.09795735747094,9.10400537128642
"87",9.08899125682504,9.07169603166834
"88",9.03792435214805,9.02513546954993
"89",9.00836329866754,9.00649734066365
"90",8.96433652573881,8.96275443186161
"91",8.93133282472913,8.92239226496755
"92",8.91753014462186,8.90749165212984
"93",8.86883642915707,8.86558802641074
"94",8.8341645483834,8.81513253866784
"95",8.7677172271322,8.7760541813611
"96",8.70353420702426,8.69844184093355
"97",8.6747808071738,8.67798360088635
"98",8.62753979966824,8.61661184533039
"99",8.57026804710598,8.5606705172737
"100",8.51427878422216,8.50389884058473
"101",8.48067991459073,8.4728775001096
"102",8.42974170586816,8.44594336184733
"103",8.39640355164128,8.40338802068082
"104",8.35731458122673,8.3561231545033
"105",8.29170667207631,8.28907379674274
"106",8.23616901083877,8.24418676834125
"107",8.19502765657329,8.21359181012675
"108",8.17295374914165,8.16745189456093
"109",8.12383270608882,8.12964840009583
"110",8.0877344777667,8.08937003034268
"111",8.06700584459922,8.06566223596777
"112",8.03273988969829,8.01268000682526
"113",7.9881423112062,7.99064856464295
"114",7.94505755403103,7.91946894736324
"115",7.90017802657156,7.88975135497446
"116",7.84693864509284,7.84877819019173
"117",7.83819547295506,7.83810449961429
"118",7.73462480781709,7.73714412254934
"119",7.68945833831288,7.6840304331818
"120",7.657558579893,7.67208211691312
"121",7.61416857546531,7.6115641333269
"122",7.58805203251801,7.56830128451024
"123",7.56471306891718,7.55671666562324
"124",7.52120922980724,7.51092335871586
"125",7.4935513727337,7.48420675644882
"126",7.47349759778218,7.47925671518721
"127",7.41827610552511,7.41375209912887
"128",7.39392166416092,7.37138083577144
"129",7.3470579155558,7.34800947203239
"130",7.31626966240598,7.30233864873522
"131",7.26963313617783,7.25609359977403
"132",7.23193667576649,7.22039947258465
"133",7.19191529083379,7.18700458746918
"134",7.17131581531822,7.16046160396644
"135",7.1414554813071,7.12494686651059
"136",7.06554007787125,7.07885797305424
"137",7.0338328333268,7.0366909031705
"138",6.99934272664945,6.98170746056863
"139",6.98694038590041,6.9707230544557
"140",6.94602547849441,6.94859303577668
"141",6.90141720971917,6.8945419001991
"142",6.85266575989789,6.86163933865829
"143",6.80178278669238,6.80745895948399
"144",6.78370268437306,6.77324195500889
"145",6.72369977227402,6.70999898414612
"146",6.66561895230707,6.66197185601725
"147",6.63340075140976,6.63584803154736
