"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",0.440670350727805,2.7484058493193,2.6793380100153,2.39754278176896,0.444142940548326,2.80998100214788,3.30776266577524,3.00403643796241
"result.2",0.440564418791939,2.74730170936823,2.67953103763798,2.39762561357413,0.444084681285495,2.80936293420276,3.3061853383286,3.00410019287104
"result.3",0.440241142511296,2.7439368000575,2.68020573742881,2.39793719790288,0.443907546583344,2.80748411768236,3.30138458558877,3.00429351135631
"result.4",0.439232458751633,2.73388610719917,2.68361123477531,2.39935533569462,0.443381399752873,2.80190792822045,3.28708033684931,3.00486308818849
"result.5",0.436049318571859,2.70429811677723,2.69779686430398,2.39781090754605,0.441826583175171,2.78549677130075,3.24440828675583,3.00650629003395
"result.6",0.427386426201986,2.63621965176391,2.71091635695582,2.43846859585289,0.437725575218213,2.74336798625363,3.1479344983943,3.0099932124027
"result.7",0.41849213682742,2.6197499085249,2.70198870472846,2.80538897677739,0.426599936870178,2.63391548721658,2.84625941522702,3.01865597652288
"result.8",0.444272589903898,3.00646981890413,3.17441784212794,2.45967765246905,0.407745591981985,2.55463242177085,2.62148071648226,3.03324609019785
"result.9",0.554320160291695,3.9422120881184,3.95520659357544,1.86665246315694,0.456257157972092,3.30323397928399,3.34805868754524,3.07301414992473
"result.10",0.657533834976159,5.01010996607292,4.7453469088407,2.22124615186623,0.88124235437807,6.7643160988679,6.14714931043571,2.55257110173698
