"","loss_total...13."
"result.1",0.005
"result.2",0.01
"result.3",0.015
"result.4",0.02
"result.5",0.025
"result.6",0.03
"result.7",0.035
"result.9",0.045
"result.10",0.05
"result.11",0.055
"result.12",0.06
"result.13",0.065
"result.14",0.07
"result.15",0.075
"result.16",0.08
"result.17",0.085
"result.18",0.09
"result.19",0.095
"result.20",0.1
"result.21",0.105
"result.22",0.11
"result.23",0.115
"result.24",0.12
"result.26",0.13
"result.27",0.135
"result.29",0.145
"result.30",0.15
"result.31",0.155
"result.32",0.16
"result.33",0.165
"result.34",0.17
"result.36",0.18
"result.37",0.185
"result.38",0.19
"result.40",0.2
"result.42",0.21
"result.43",0.215
"result.44",0.22
"result.45",0.225
"result.46",0.23
"result.47",0.235
"result.48",0.24
"result.49",0.245
"result.50",0.25
"result.51",0.255
"result.52",0.26
"result.53",0.265
"result.54",0.27
"result.55",0.275
"result.56",0.28
"result.57",0.285
"result.58",0.29
"result.59",0.295
"result.61",0.305
"result.62",0.31
"result.64",0.32
"result.66",0.33
"result.67",0.335
"result.68",0.34
"result.69",0.345
"result.70",0.35
"result.71",0.355
"result.72",0.36
"result.73",0.365
"result.74",0.37
"result.75",0.375
"result.76",0.38
"result.77",0.385
"result.78",0.39
"result.79",0.395
"result.80",0.4
"result.82",0.41
"result.83",0.415
"result.84",0.42
"result.85",0.425
"result.86",0.43
"result.87",0.435
"result.88",0.44
"result.89",0.445
"result.90",0.45
"result.92",0.46
"result.93",0.465
"result.94",0.47
"result.95",0.475
"result.96",0.48
"result.97",0.485
"result.98",0.49
"result.100",0.5
